lineId_mes_año,velocidad_kmh,muestras
131_5_2019,20.36,202717
140_5_2019,18.86,103252
142_5_2019,21.64,153224
1472_5_2019,19.15,164055
150_5_2019,19.41,88166
1571_5_2019,19.12,158155
2101_5_2019,17.02,97598
2102_5_2019,17.62,73815
2104_5_2019,16.83,76053
2121_5_2019,22.15,220941
2141_5_2019,21.17,51859
217_5_2019,18.12,24424
2211_5_2019,18.82,129795
2212_5_2019,22.21,169431
2241_5_2019,20.84,63594
2242_5_2019,19.14,130591
2243_5_2019,19.70,43006
2273_5_2019,21.76,179496
2274_5_2019,18.91,149644
2301_5_2019,20.23,141218
2401_5_2019,20.63,70953
2402_5_2019,20.24,122458
243_5_2019,19.85,27498
2471_5_2019,20.70,180093
2472_5_2019,19.23,117426
2473_5_2019,20.94,160895
2521_5_2019,17.83,65209
2524_5_2019,17.48,168384
271_5_2019,18.81,70363
272_5_2019,18.17,127998
2801_5_2019,21.11,24196
282_5_2019,20.02,75601
2841_5_2019,20.07,123889
2842_5_2019,20.40,78698
3011_5_2019,15.73,20265
302_5_2019,17.34,64699
303_5_2019,16.07,22822
304_5_2019,20.67,33753
305_5_2019,17.75,39009
306_5_2019,18.97,68173
3112_5_2019,10.84,8765
311_5_2019,16.43,57305
3121_5_2019,15.04,32368
3122_5_2019,12.97,48854
3123_5_2019,15.16,17552
3124_5_2019,13.83,27481
3131_5_2019,18.78,42031
3132_5_2019,17.70,20901
3133_5_2019,17.06,32588
3141_5_2019,15.44,54257
3171_5_2019,14.36,34207
3172_5_2019,22.22,35025
318_5_2019,23.66,40281
3191_5_2019,20.39,44981
3192_5_2019,20.61,43426
321_5_2019,16.42,35777
322_5_2019,17.65,28118
323_5_2019,13.81,10766
324_5_2019,17.84,12380
332_5_2019,20.29,31576
333_5_2019,17.03,38981
334_5_2019,17.87,28576
3351_5_2019,17.97,24196
336_5_2019,18.25,26792
3371_5_2019,20.49,43278
3372_5_2019,19.14,35262
3411_5_2019,18.62,91895
3413_5_2019,19.96,13073
3422_5_2019,21.80,33489
3441_5_2019,21.20,55030
3442_5_2019,19.40,43432
3452_5_2019,20.45,28527
347_5_2019,23.10,124021
352_5_2019,20.69,24497
353_5_2019,20.46,25847
355_5_2019,23.31,31138
357_5_2019,18.50,38680
370_5_2019,20.77,21016
371_5_2019,21.91,56714
3721_5_2019,15.43,38867
3722_5_2019,15.75,8655
373_5_2019,19.75,69181
375_5_2019,24.30,47516
376_5_2019,18.12,45267
377_5_2019,22.32,38727
3781_5_2019,16.99,23660
385_5_2019,20.78,70683
421_5_2019,19.44,196700
4272_5_2019,16.94,20912
427_5_2019,19.32,86384
431_5_2019,22.46,70878
437_5_2019,20.96,111975
441_5_2019,20.21,99460
452_5_2019,18.11,29258
722_5_2019,2.65,444
999_5_2019,2.97,210623
