lineId_paradaOrigen_paradaDestino,velocidad_kmh,muestras
2121_500100_513258,16.57,1
2301_512123_513264,26.98,561
2121_500100_513262,11.28,1
272_512054_512055,14.41,438
3452_514134_514460,30.72,12
3721_517278_500052,12.16,3
2101_502303_502250,14.20,9
271_511421_511422,19.26,208
2101_502303_502251,36.82,350
271_511421_511423,66.77,1
271_511421_511420,24.72,43
305_519041_512072,5.17,1
352_515169_515168,21.10,22
3411_514466_514044,26.24,546
3411_514466_514045,20.51,5
3411_514466_514042,15.19,129
150_501550_501500,0.64,1
2102_516217_516219,14.11,71
377_516187_517268,19.35,1
3192_511462_511056,25.61,226
3192_511462_511059,2.54,1
311_511249_511250,7.44,15
2101_511012_516049,18.13,70
2212_513256_500101,19.70,316
2473_515059_515058,17.85,34
3112_511016_511251,30.26,116
347_500156_514021,49.07,1
347_500156_514020,23.21,901
2121_516080_516081,14.49,367
2211_516245_516266,18.66,1
140_501450_501350,11.95,210
2102_516217_516221,9.70,1
2242_512072_512133,2.93,2
140_501350_501250,25.55,1
2101_511012_516051,29.08,1
355_514214_514212,22.59,1
2211_518046_516089,15.01,1
355_514214_514213,13.03,7
371_517021_517232,42.16,396
2473_515059_515060,29.54,165
311_511249_511261,17.52,152
2121_516080_516088,4.97,1
2211_516245_516268,42.87,4
311_511249_511264,16.45,2
272_500603_502401,27.92,432
2121_516080_516090,1.85,1
441_501351_501301,38.71,355
2273_513035_513290,26.84,368
271_511321_511323,29.88,251
131_501002_500750,22.79,1
3722_517248_500053,18.24,1
2242_512072_512148,32.94,1
2242_512072_512147,24.48,402
2102_516217_516213,38.28,1
333_513276_513294,22.49,48
2102_516217_516215,26.92,252
333_513276_513293,16.87,4
282_513289_512134,29.52,1
131_500650_500451,47.25,580
3192_511462_511079,18.46,62
3192_511462_511078,12.82,1
427_502451_502501,17.70,414
2211_511329_511226,31.18,310
2301_501501_501451,8.07,215
2211_516245_516244,6.99,61
2301_512070_501401,3.40,1
2242_512130_513219,30.40,1
373_517279_517015,27.11,457
2473_515238_515049,18.51,1
3122_511170_511352,5.64,2
2211_515161_516085,20.93,274
333_513276_513277,11.92,2
3122_511170_511351,10.80,2
2211_515161_516089,15.04,70
2473_515238_515048,35.90,5
3122_511170_511350,13.49,553
2212_502301_515144,9.36,1
2212_502301_515147,30.49,1
441_501251_501201,22.32,456
2841_514083_514084,33.39,350
3192_511462_511081,22.77,1
2521_515059_515058,20.81,29
2211_515026_515138,14.36,71
2841_514083_514081,20.59,77
2524_516082_515171,11.34,4
2473_515238_515040,32.56,267
3192_511462_511080,17.22,1
2521_515059_515060,29.04,138
2243_513309_513140,28.29,125
