lineId_mes_año,velocidad_kmh,muestras
131_10_2018,20.62,1836829
131_11_2018,20.51,1795647
131_12_2018,20.46,1724286
131_1_2019,20.47,1675353
131_2_2019,20.32,1470449
131_3_2019,20.39,1734999
131_4_2019,20.45,1586003
131_5_2018,20.46,54216
131_5_2019,20.43,1489810
131_6_2018,20.65,1686342
131_7_2018,20.76,1724933
131_8_2018,21.01,1787271
131_9_2018,20.74,1750060
140_10_2018,19.44,973718
140_11_2018,19.62,871310
140_12_2018,19.53,914194
140_1_2019,19.30,902467
140_2_2019,18.79,804141
140_3_2019,19.16,956977
140_4_2019,18.93,909076
140_5_2018,19.32,31368
140_5_2019,19.15,814306
140_6_2018,19.22,853777
140_7_2018,19.57,896450
140_8_2018,19.66,905753
140_9_2018,19.68,912892
142_10_2018,22.99,1249124
142_11_2018,22.55,1114155
142_12_2018,22.37,1041711
142_1_2019,22.37,1079443
142_2_2019,21.58,1094485
142_3_2019,21.72,1178686
142_4_2019,21.62,1046705
142_5_2018,23.35,46428
142_5_2019,21.94,1032140
142_6_2018,24.07,1211006
142_7_2018,24.04,1251747
142_8_2018,23.46,1266107
142_9_2018,22.61,1122978
1472_10_2018,19.41,1348194
1472_11_2018,19.50,1247804
1472_12_2018,19.62,1198212
1472_1_2019,19.48,1305521
1472_2_2019,19.31,1280362
1472_3_2019,19.61,1472158
1472_4_2019,19.45,1379696
1472_5_2018,19.20,40035
1472_5_2019,19.46,1249817
1472_6_2018,19.79,1173657
1472_7_2018,19.62,1323485
1472_8_2018,19.66,1340613
1472_9_2018,19.52,1259310
150_10_2018,19.34,657614
150_11_2018,19.34,562518
150_12_2018,18.94,618968
150_1_2019,19.09,634880
150_2_2019,19.02,592682
150_3_2019,18.99,716675
150_4_2019,19.06,724467
150_5_2018,18.08,18293
150_5_2019,19.14,682614
150_6_2018,18.74,538543
150_7_2018,19.41,622304
150_8_2018,19.26,625291
150_9_2018,18.98,595064
1571_10_2018,19.18,1261135
1571_11_2018,19.13,1182468
1571_12_2018,19.31,1223238
1571_1_2019,19.27,1338406
1571_2_2019,19.11,1224141
1571_3_2019,19.14,1457064
1571_4_2019,19.17,1403660
1571_5_2018,18.97,38259
1571_5_2019,19.25,1246296
1571_6_2018,19.41,1273236
1571_7_2018,19.42,1295026
1571_8_2018,19.28,1245879
1571_9_2018,19.32,1212877
2101_10_2018,19.07,998672
2101_11_2018,19.33,926081
2101_12_2018,18.86,839794
2101_1_2019,19.62,858387
2101_2_2019,19.24,776628
2101_3_2019,19.46,883231
