lineId_mes_año,velocidad_kmh,muestras
722_4_2019,4.52,3792
333_8_2018,17.66,423188
377_7_2018,23.12,301677
3721_2_2019,16.14,388599
3422_8_2018,21.74,108441
2473_10_2018,21.19,1387512
272_9_2018,19.77,1121174
555_9_2018,4.39,1779
304_5_2018,20.72,11162
2212_6_2018,23.22,1542647
2402_5_2018,21.74,33001
2402_5_2019,20.61,911741
322_1_2019,17.38,197502
304_5_2019,22.07,284194
3122_2_2019,13.66,354525
355_12_2018,23.47,198359
377_11_2018,22.41,283434
441_10_2018,20.81,903135
2242_6_2018,20.65,986171
3124_4_2019,14.39,219866
3371_12_2018,21.21,389001
371_9_2018,22.54,441517
2473_5_2018,21.36,45334
2473_5_2019,21.05,1272876
336_7_2018,19.04,222628
3452_1_2019,21.43,189095
3141_10_2018,17.19,576830
2274_8_2018,19.50,1264696
318_4_2019,26.46,361613
3142_7_2018,22.22,151376
3441_1_2019,22.51,496438
251_11_2018,22.77,208679
421_1_2019,19.80,1534539
2121_7_2018,23.26,2105381
324_11_2018,17.48,114766
2274_1_2019,19.51,1323662
427_6_2018,20.22,696211
302_3_2019,19.29,598103
437_9_2018,20.82,678959
3011_5_2019,16.40,151829
334_5_2019,16.46,145355
243_12_2018,21.09,185846
3372_9_2018,19.56,296833
334_5_2018,15.79,3432
2301_3_2019,21.05,1248418
142_11_2018,22.55,1114155
3011_5_2018,16.50,6043
441_6_2018,21.42,844812
553_10_2018,4.88,12489
305_2_2019,18.70,318247
311_1_2019,19.80,424181
2104_8_2018,18.45,713305
2471_3_2019,21.63,1530680
2121_11_2018,22.96,2046686
3121_5_2018,16.58,9368
3121_5_2019,15.30,254688
131_5_2019,20.43,1489810
3133_11_2018,18.76,242361
2401_8_2018,20.69,612699
333_1_2019,17.79,346631
131_5_2018,20.46,54216
3112_7_2018,16.14,60037
2101_9_2018,19.09,961388
352_1_2019,20.48,222006
2102_12_2018,18.45,671888
150_5_2019,19.14,682614
2211_1_2019,19.75,1130393
150_5_2018,18.08,18293
2841_6_2018,21.83,923871
421_8_2018,19.82,1532940
3133_9_2018,18.67,235840
370_4_2019,20.94,180351
1472_10_2018,19.41,1348194
140_3_2019,19.16,956977
352_12_2018,20.52,188135
452_10_2018,18.00,200376
4272_2_2019,17.56,107978
375_5_2019,24.19,365804
332_3_2019,20.36,256974
3123_7_2018,16.13,147073
375_5_2018,23.25,14447
2243_3_2019,20.10,258893
357_2_2019,18.55,324537
1472_2_2019,19.31,1280362
2141_4_2019,21.80,389673
352_8_2018,20.60,53001
355_8_2018,23.68,212064
452_6_2018,18.13,190070
371_2_2019,21.46,389600
321_11_2018,16.70,327143
3372_1_2019,19.59,307579
3781_2_2019,16.96,134867
347_12_2018,26.67,1051700
311_9_2018,18.20,514448
302_12_2018,19.24,528181
142_4_2019,21.62,1046705
2241_1_2019,22.24,520115
323_5_2018,15.45,4809
323_5_2019,14.62,97848
131_12_2018,20.46,1724286
2801_3_2019,21.20,268524
302_11_2018,19.37,531226
2521_2_2019,18.65,500419
452_5_2019,18.20,199994
311_8_2018,17.95,527147
355_7_2018,23.97,234322
452_5_2018,17.15,7689
332_4_2019,19.94,224983
3372_2_2019,19.61,298835
131_11_2018,20.51,1795647
722_12_2018,2.51,2655
357_9_2018,20.57,339450
140_2_2019,18.79,804141
321_4_2019,16.60,313004
2273_3_2019,23.10,1806626
2842_3_2019,20.64,768452
303_1_2019,16.27,169669
353_6_2018,22.98,255602
3351_6_2018,17.63,134461
373_4_2019,19.47,565432
2211_12_2018,19.95,1086216
2524_10_2018,17.48,1315002
3351_11_2018,17.72,145666
2472_1_2019,19.86,986893
385_8_2018,19.92,507198
2524_1_2019,17.46,1360364
324_3_2019,16.68,111664
305_12_2018,18.43,288323
2401_11_2018,19.93,532421
2102_6_2018,19.08,709675
2241_10_2018,21.55,534488
2141_5_2018,20.11,15168
2141_5_2019,21.80,304589
370_5_2018,19.60,6576
370_5_2019,20.64,162654
305_3_2019,18.31,353824
3191_10_2018,24.58,389235
305_9_2018,19.08,292009
2401_7_2018,20.34,586976
3371_4_2019,20.60,365199
2102_11_2018,18.57,703788
305_11_2018,18.55,269166
2101_2_2019,19.24,776628
431_3_2019,22.25,475730
333_12_2018,17.77,359119
2211_11_2018,19.90,999458
2241_11_2018,22.03,510169
2521_10_2018,18.61,687743
2401_1_2019,20.68,597907
322_8_2018,17.23,210316
347_7_2018,27.56,1145478
2101_1_2019,19.62,858387
303_8_2018,16.04,154012
2104_1_2019,18.30,760443
3192_12_2018,23.30,403796
3351_10_2018,17.86,139706
441_5_2019,20.86,784790
306_7_2018,20.97,597200
441_5_2018,21.13,27828
2471_12_2018,21.72,1285831
282_12_2018,19.28,660741
2524_11_2018,17.39,1213298
334_6_2018,15.76,110563
332_10_2018,20.18,230478
3122_11_2018,13.67,407121
302_4_2019,19.39,589258
2471_4_2019,21.44,1466648
437_1_2019,21.00,744154
352_9_2018,21.52,58280
2121_6_2018,22.99,1948476
2472_8_2018,19.86,876342
323_6_2018,15.83,125119
2801_10_2018,21.82,275216
2473_6_2018,21.34,1383430
2801_11_2018,21.51,220472
377_12_2018,22.49,264242
3122_12_2018,13.73,412970
355_11_2018,23.90,221557
140_9_2018,19.68,912892
3192_4_2019,21.92,320517
2242_7_2018,21.16,1017166
3422_9_2018,21.46,115633
357_1_2019,19.75,363966
722_3_2019,0.94,3911
311_2_2019,17.72,460941
557_12_2018,11.58,3373
3142_8_2018,21.73,159072
3781_9_2018,17.30,155291
142_12_2018,22.37,1041711
375_6_2018,24.73,430727
332_11_2018,20.53,235541
2242_12_2018,19.98,884722
357_3_2019,18.81,378516
2521_11_2018,18.43,608613
304_10_2018,22.48,364667
3192_6_2018,22.31,295049
437_8_2018,20.76,684109
3131_1_2019,20.97,386284
2472_7_2018,20.08,947404
2841_7_2018,22.18,1000920
553_8_2018,3.71,13192
2104_9_2018,18.53,683296
553_11_2018,3.39,15369
150_6_2018,18.74,538543
322_12_2018,17.24,197563
271_12_2018,19.18,469591
1571_3_2019,19.14,1457064
3124_5_2018,14.30,11097
3124_5_2019,14.13,192016
2841_12_2018,21.03,909236
3131_8_2018,21.30,406456
2242_5_2019,19.99,940160
2242_5_2018,19.90,36367
303_9_2018,16.32,131727
3133_10_2018,18.42,221745
3121_6_2018,15.59,276098
3411_2_2019,18.49,691546
2104_2_2019,17.90,656863
306_8_2018,20.84,627788
3011_4_2019,16.68,166944
2301_4_2019,21.13,1229047
371_10_2018,22.33,455977
553_6_2018,5.75,11621
3411_9_2018,20.02,676044
142_5_2018,23.35,46428
243_11_2018,20.23,128432
2274_7_2018,19.80,1275245
2101_3_2019,19.46,883231
2301_12_2018,20.91,1182510
427_10_2018,19.61,692488
376_9_2018,18.80,326949
2402_6_2018,20.89,905940
333_7_2018,18.00,389729
347_6_2018,26.91,1074113
304_4_2019,22.21,320159
2141_11_2018,20.56,343430
3413_10_2018,20.89,107955
3441_11_2018,22.60,487855
322_7_2018,17.52,206174
318_3_2019,27.15,368953
385_1_2019,21.34,440559
2101_10_2018,19.07,998672
3191_11_2018,24.25,417935
551_12_2018,3.92,16799
999_5_2018,3.19,68384
999_5_2019,3.34,1327670
1571_12_2018,19.31,1223238
336_6_2018,19.12,211643
3141_11_2018,16.73,469294
651_10_2018,20.59,142812
3721_11_2018,15.66,375741
3441_8_2018,22.84,550165
2241_2_2019,21.60,479886
3351_7_2018,17.93,156209
2524_2_2019,17.33,1291866
2273_4_2019,23.15,1707946
3351_12_2018,17.68,140645
271_4_2019,18.99,465016
140_4_2019,18.93,909076
