lineId_mes_año,velocidad_promedio,muestras
3452_5_2019,20.43,28640
347_5_2019,23.07,124540
2212_5_2019,22.18,170244
2211_5_2019,18.80,130467
3172_5_2019,22.18,35249
3171_5_2019,14.35,34447
3413_5_2019,19.93,13138
3411_5_2019,18.60,92259
322_5_2019,17.62,28246
305_5_2019,17.73,39201
2104_5_2019,16.81,76493
2102_5_2019,17.59,74226
2402_5_2019,20.22,123019
3112_5_2019,10.83,8832
323_5_2019,13.79,10825
2101_5_2019,17.00,98144
324_5_2019,17.80,12442
321_5_2019,16.41,35965
437_5_2019,20.95,112706
271_5_2019,18.79,70710
2401_5_2019,20.60,71251
272_5_2019,18.15,128700
3132_5_2019,17.67,21007
303_5_2019,16.04,22929
452_5_2019,18.08,29471
3133_5_2019,17.03,32794
304_5_2019,20.63,33928
306_5_2019,18.95,68485
302_5_2019,17.31,65051
3131_5_2019,18.75,42237
142_5_2019,21.62,154011
140_5_2019,18.83,103833
431_5_2019,22.46,71360
2471_5_2019,20.67,180928
3372_5_2019,19.11,35415
2473_5_2019,20.92,161654
2121_5_2019,22.13,222003
243_5_2019,19.82,27653
385_5_2019,20.76,70982
2274_5_2019,18.88,150420
376_5_2019,18.09,45493
3191_5_2019,20.36,45277
2141_5_2019,21.13,52126
355_5_2019,23.27,31271
2841_5_2019,20.04,124409
3124_5_2019,13.80,27685
370_5_2019,20.74,21115
371_5_2019,21.88,56978
1472_5_2019,19.13,164955
373_5_2019,19.72,69519
2241_5_2019,20.82,63886
2521_5_2019,17.80,65540
2842_5_2019,20.37,79068
352_5_2019,20.65,24602
353_5_2019,20.44,25968
3141_5_2019,15.41,54599
2242_5_2019,19.12,131250
2524_5_2019,17.46,169270
3011_5_2019,15.70,20380
334_5_2019,17.84,28700
3422_5_2019,21.76,33652
2243_5_2019,19.68,43235
3722_5_2019,15.70,8705
3781_5_2019,16.97,23778
332_5_2019,20.27,31713
3721_5_2019,15.41,39053
333_5_2019,17.01,39182
336_5_2019,18.22,26911
3122_5_2019,12.95,49166
318_5_2019,23.62,40545
3121_5_2019,15.03,32567
3123_5_2019,15.16,17646
311_5_2019,16.40,57621
3441_5_2019,21.18,55272
282_5_2019,19.98,75967
131_5_2019,20.34,203887
3442_5_2019,19.38,43633
2301_5_2019,20.21,141915
441_5_2019,20.21,100116
3371_5_2019,20.45,43496
2472_5_2019,19.20,118013
150_5_2019,19.39,88618
421_5_2019,19.43,197974
722_5_2019,2.63,448
427_5_2019,19.31,86901
1571_5_2019,19.10,159031
3192_5_2019,20.59,43660
217_5_2019,18.09,24616
377_5_2019,22.29,38887
2801_5_2019,21.07,24313
2273_5_2019,21.74,180357
375_5_2019,24.26,47731
4272_5_2019,16.93,21063
357_5_2019,18.48,38844
999_5_2019,2.97,211838
3351_5_2019,17.97,24323
