lineId_mes_año,velocidad_promedio,muestras
722_4_2019,4.52,3812
333_8_2018,17.65,424979
377_7_2018,23.09,302955
3721_2_2019,16.12,390096
3422_8_2018,21.70,108977
2473_10_2018,21.17,1393058
272_9_2018,19.75,1126201
555_9_2018,4.38,1790
304_5_2018,20.70,11220
2212_6_2018,23.19,1549517
2402_5_2018,21.69,33144
2402_5_2019,20.59,915533
322_1_2019,17.36,198315
304_5_2019,22.04,285318
3122_2_2019,13.65,356306
355_12_2018,23.43,199140
377_11_2018,22.37,284634
441_10_2018,20.81,908234
2242_6_2018,20.62,990733
3124_4_2019,14.36,221180
3371_12_2018,21.19,390537
371_9_2018,22.52,443291
2473_5_2018,21.33,45534
2473_5_2019,21.02,1278277
336_7_2018,19.02,223437
3452_1_2019,21.41,189749
3141_10_2018,17.17,580079
2274_8_2018,19.48,1270585
318_4_2019,26.44,363729
3142_7_2018,22.19,152124
3441_1_2019,22.49,498254
251_11_2018,22.75,209319
421_1_2019,19.79,1543258
2121_7_2018,23.23,2113795
324_11_2018,17.45,115240
2274_1_2019,19.49,1329618
427_6_2018,20.20,700091
302_3_2019,19.26,600769
437_9_2018,20.81,683043
3011_5_2019,16.38,152618
334_5_2019,16.44,146051
243_12_2018,21.07,186789
3372_9_2018,19.54,298005
334_5_2018,15.73,3452
2301_3_2019,21.02,1253864
142_11_2018,22.52,1119561
3011_5_2018,16.49,6075
441_6_2018,21.41,849544
553_10_2018,4.88,12570
305_2_2019,18.68,319587
311_1_2019,19.77,426235
2104_8_2018,18.43,716883
2471_3_2019,21.60,1537044
2121_11_2018,22.93,2054833
3121_5_2018,16.56,9422
3121_5_2019,15.28,256052
131_5_2019,20.41,1497568
3133_11_2018,18.74,243579
2401_8_2018,20.66,615100
333_1_2019,17.78,348106
131_5_2018,20.44,54552
3112_7_2018,16.11,60376
2101_9_2018,19.07,965961
352_1_2019,20.45,222868
2102_12_2018,18.43,674939
150_5_2019,19.12,685961
2211_1_2019,19.73,1135386
150_5_2018,18.04,18405
2841_6_2018,21.81,927253
421_8_2018,19.81,1542041
3133_9_2018,18.64,237095
370_4_2019,20.91,181152
1472_10_2018,19.39,1354734
140_3_2019,19.15,961884
352_12_2018,20.49,188854
452_10_2018,17.98,201771
4272_2_2019,17.54,108710
375_5_2019,24.16,367298
332_3_2019,20.34,258050
3123_7_2018,16.12,147819
375_5_2018,23.21,14518
2243_3_2019,20.07,260254
357_2_2019,18.53,325820
1472_2_2019,19.29,1286527
2141_4_2019,21.77,391643
352_8_2018,20.56,53264
355_8_2018,23.64,212909
452_6_2018,18.11,191398
371_2_2019,21.43,391380
321_11_2018,16.68,328598
3372_1_2019,19.56,308707
3781_2_2019,16.93,135499
347_12_2018,26.65,1055074
311_9_2018,18.17,517173
302_12_2018,19.22,530372
142_4_2019,21.60,1051784
2241_1_2019,22.22,522240
323_5_2018,15.42,4829
323_5_2019,14.60,98295
131_12_2018,20.45,1732554
2801_3_2019,21.17,269726
302_11_2018,19.35,533563
2521_2_2019,18.63,502571
452_5_2019,18.18,201394
311_8_2018,17.92,530009
355_7_2018,23.94,235264
452_5_2018,17.14,7745
332_4_2019,19.91,225964
3372_2_2019,19.59,299944
131_11_2018,20.50,1804702
722_12_2018,2.51,2677
357_9_2018,20.55,340745
140_2_2019,18.77,808182
321_4_2019,16.59,314427
2273_3_2019,23.08,1814197
2842_3_2019,20.62,771843
303_1_2019,16.25,170324
3351_6_2018,17.61,135158
353_6_2018,22.96,256565
373_4_2019,19.45,567939
2211_12_2018,19.93,1090956
2524_10_2018,17.45,1321267
3351_11_2018,17.70,146358
2472_1_2019,19.83,991033
385_8_2018,19.90,509240
2524_1_2019,17.44,1366671
324_3_2019,16.65,112182
305_12_2018,18.41,289506
2401_11_2018,19.90,534590
2102_6_2018,19.05,713081
2241_10_2018,21.52,536791
2141_5_2018,20.08,15252
2141_5_2019,21.77,306153
370_5_2018,19.56,6608
370_5_2019,20.61,163397
305_3_2019,18.29,355409
3191_10_2018,24.55,391257
305_9_2018,19.06,293277
2401_7_2018,20.32,589367
3371_4_2019,20.57,366900
2102_11_2018,18.54,707075
305_11_2018,18.54,270323
2101_2_2019,19.22,780297
431_3_2019,22.24,479034
333_12_2018,17.76,360583
2241_11_2018,22.01,512273
2211_11_2018,19.88,1004142
2521_10_2018,18.59,690831
2401_1_2019,20.65,600187
322_8_2018,17.21,211229
347_7_2018,27.53,1149244
2101_1_2019,19.60,862307
303_8_2018,16.02,154629
2104_1_2019,18.28,764110
3192_12_2018,23.28,405267
3351_10_2018,17.84,140368
441_5_2019,20.85,789363
306_7_2018,20.95,599580
441_5_2018,21.12,28003
2471_12_2018,21.69,1290767
282_12_2018,19.25,663587
2524_11_2018,17.37,1219109
334_6_2018,15.75,111068
332_10_2018,20.15,231417
3122_11_2018,13.65,409133
302_4_2019,19.37,591799
2471_4_2019,21.41,1472688
437_1_2019,20.99,748577
352_9_2018,21.48,58552
2121_6_2018,22.96,1956642
2472_8_2018,19.84,880148
323_6_2018,15.80,125653
2801_10_2018,21.79,276362
2473_6_2018,21.31,1389150
2801_11_2018,21.47,221396
3122_12_2018,13.72,414943
377_12_2018,22.45,265305
355_11_2018,23.86,222413
140_9_2018,19.66,917242
3192_4_2019,21.90,321995
2242_7_2018,21.12,1021715
3422_9_2018,21.43,116203
357_1_2019,19.73,365336
722_3_2019,0.93,3954
311_2_2019,17.69,463363
557_12_2018,11.53,3394
3142_8_2018,21.70,159790
3781_9_2018,17.27,156025
142_12_2018,22.34,1046485
375_6_2018,24.70,432435
332_11_2018,20.51,236452
2242_12_2018,19.95,888429
357_3_2019,18.79,380026
2521_11_2018,18.41,611309
304_10_2018,22.45,366019
3192_6_2018,22.29,296515
437_8_2018,20.75,688365
3131_1_2019,20.95,387911
2472_7_2018,20.05,951474
2841_7_2018,22.16,1004399
553_8_2018,3.71,13270
2104_9_2018,18.51,686628
553_11_2018,3.39,15463
150_6_2018,18.72,541371
322_12_2018,17.23,198356
271_12_2018,19.16,471631
1571_3_2019,19.13,1464475
3124_5_2018,14.26,11179
3124_5_2019,14.11,193246
2841_12_2018,21.01,912478
3131_8_2018,21.27,408214
2242_5_2019,19.96,944506
2242_5_2018,19.86,36548
303_9_2018,16.30,132213
3133_10_2018,18.39,222943
3121_6_2018,15.57,277642
2104_2_2019,17.88,660147
3411_2_2019,18.48,694104
306_8_2018,20.82,630287
3011_4_2019,16.67,167794
2301_4_2019,21.10,1234270
371_10_2018,22.31,457860
553_6_2018,5.74,11703
3411_9_2018,20.00,678492
142_5_2018,23.33,46667
243_11_2018,20.21,129140
2274_7_2018,19.77,1281074
2101_3_2019,19.44,887528
2301_12_2018,20.89,1187384
427_10_2018,19.60,696317
376_9_2018,18.77,328440
2402_6_2018,20.87,909646
333_7_2018,17.98,391446
347_6_2018,26.88,1077790
304_4_2019,22.18,321376
2141_11_2018,20.53,345212
3413_10_2018,20.85,108452
3441_11_2018,22.57,489687
322_7_2018,17.50,207082
318_3_2019,27.11,371196
385_1_2019,21.31,442105
2101_10_2018,19.04,1003408
3191_11_2018,24.22,420040
551_12_2018,3.91,16879
999_5_2018,3.19,68703
999_5_2019,3.34,1335320
1571_12_2018,19.29,1229065
336_6_2018,19.10,212439
3141_11_2018,16.71,471983
651_10_2018,20.57,143330
3721_11_2018,15.64,377246
3441_8_2018,22.81,552169
2241_2_2019,21.58,481907
3351_7_2018,17.91,156957
2524_2_2019,17.31,1298035
2273_4_2019,23.13,1714922
3351_12_2018,17.66,141292
271_4_2019,18.96,467191
140_4_2019,18.92,913666
357_10_2018,20.91,371597
357_8_2018,21.16,347488
376_2_2019,19.01,336413
3413_12_2018,21.55,75857
385_11_2018,21.15,464625
2521_3_2019,18.52,597504
3171_4_2019,15.46,206646
150_11_2018,19.32,565293
3122_9_2018,13.30,382733
3721_9_2018,15.92,379361
3422_2_2019,21.41,189098
373_3_2019,19.39,567094
2801_4_2019,21.30,243830
2471_2_2019,21.35,1375847
142_5_2019,21.91,1037178
321_10_2018,16.65,361096
3722_7_2018,14.39,51176
557_5_2018,3.50,141
3142_1_2019,21.20,165780
217_9_2018,19.19,187863
3442_6_2018,20.29,416106
3141_3_2019,16.69,473705
551_5_2018,0.10,51
