lineId_stopIdOrigen_stopIdDestino,velocidad_promedio,muestras
3411_514466_514047,21.18,7
3411_514466_514048,27.60,11
3411_514466_514049,30.58,6
2801_518124_518205,29.64,16
3441_514215_514485,19.04,2
3441_514215_514486,22.15,1
3411_514029_514474,32.76,1
2273_519016_518030,41.90,1
3441_514215_514487,29.02,2
271_511422_516146,24.27,10
282_513289_500101,14.01,13
131_500850_500602,20.95,46
3411_514466_514054,31.68,133
3411_514466_514050,20.98,16
371_517021_517228,22.87,5
3411_514466_514053,27.01,1
347_500168_500151,0.03,2
2121_514156_500103,8.44,3
305_519041_512072,13.80,35
2141_514076_516089,22.42,1
3172_502304_511384,25.86,15
3411_514466_514044,25.99,55938
3411_514466_514045,21.39,588
283_513150_514157,37.27,1
2473_515036_515189,25.08,10
3411_514466_514046,26.22,35
2473_515036_515187,10.48,2
3411_514466_514041,18.51,11
2473_500154_502103,9.06,32
3411_514466_514042,14.12,14791
2301_512007_500750,32.87,8
2101_501405_501552,17.85,79
2121_516138_502301,13.12,6
2274_517007_502551,35.81,5
2841_514076_514379,25.69,236
283_513143_513153,45.25,1
283_513143_513151,34.41,2
2212_513256_500101,19.82,38974
283_513143_513150,11.11,3
3172_511125_511344,27.23,7
2521_502801_503004,20.63,9
271_511422_516172,20.09,9
3172_511125_511343,39.26,8
272_516052_511235,45.76,27
2211_511099_511100,21.14,2
2211_511099_511106,19.66,32
2274_519028_517007,3.37,2
2274_519028_517008,0.91,2
2274_519028_517009,26.64,5
355_514214_514212,38.79,45
355_514214_514213,20.62,581
150_501450_502751,27.33,3
371_517021_517232,40.73,37595
2471_514382_514417,5.96,4
2401_514019_514133,18.27,1
3722_517248_500053,15.02,327
2102_511239_519061,0.79,1
322_512120_512215,34.88,1
2212_518147_512019,1.16,1
150_502600_1046368,34.42,2
2401_514019_514115,21.84,5
2401_514019_514116,21.60,9
427_502451_502501,21.71,38120
2401_514019_514119,30.67,111
376_517259_517152,1.99,1
3441_514485_500168,0.96,1
2801_518073_518131,26.02,3
4272_519165_501855,12.32,8
651_515242_515244,9.87,194
651_515242_515243,18.61,5420
2801_518073_518126,23.75,4
441_501100_500158,7.21,7
441_501100_500159,12.82,46
2211_515026_515138,13.53,2697
3441_514485_500162,8.41,2
2524_516082_515171,5.22,985
2301_501501_500103,18.82,4
2211_515026_515146,30.76,9
2211_515026_515141,24.21,11
3372_513080_513088,32.14,23
2524_516082_515140,33.22,74
271_511422_516128,12.18,3
2141_515237_515138,28.74,1
2211_516094_516096,20.61,25699
2273_518031_514558,25.63,2
131_500301_500201,26.64,91
2273_518075_513231,12.14,1
2471_514370_515018,29.65,1
2141_511417_511230,30.60,2
2212_513309_513290,26.40,39
2524_516082_515153,18.47,136
271_511416_511484,15.02,289
2141_516108_511033,67.10,1
2524_516266_502900,11.30,4
2101_516068_516235,20.84,4
357_514419_514543,24.54,1314
357_514419_514544,17.96,4
2211_516094_516088,37.73,9
357_514419_514545,23.53,93
2471_514376_518165,9.34,1
2471_514370_515010,11.52,3
251_514192_514246,9.44,2
271_511416_511489,22.01,1
2211_516094_516084,40.87,1
2211_516094_516092,18.39,9710
2211_516094_516090,28.11,10
3124_511433_511497,12.88,2
2121_514384_500152,29.84,2
357_514419_514546,16.01,1254
2471_514370_515008,35.39,6
357_514419_514547,22.00,14212
357_514419_514548,16.07,144
2121_514384_500155,17.61,6
271_511416_511490,30.84,5
2521_513226_512054,15.60,14
271_511416_511491,13.67,12
2121_513253_502301,9.39,6
2402_513124_513292,19.49,5930
2521_513226_512057,31.70,5
2141_511417_511226,16.06,5
421_501002_502200,46.13,19
2212_513309_513231,48.46,2
318_511133_511335,50.39,1992
131_501750_501002,17.37,5
370_517257_519282,9.38,76
2212_514003_513035,28.61,1
441_501051_501050,3.83,1
2211_502312_516089,0.12,1
651_515242_515200,28.50,1
322_512092_512061,11.89,1
322_512092_512062,24.73,2
2473_516234_516120,19.40,21
322_512092_512064,3.00,1
441_501853_500158,3.20,1
322_512092_512065,19.88,3
251_514415_502650,40.08,1
3413_514467_500164,20.78,7
271_511416_511468,37.74,1
272_516061_513264,0.06,2
282_513194_513303,9.20,1
2121_513009_511281,25.79,1
2473_516234_516119,19.53,13
1571_502850_502950,17.02,102
2524_516082_515139,19.24,23
452_502651_503005,31.34,30
2801_518205_519206,7.83,2
2121_513159_504015,13.22,2
3413_514467_500156,15.49,6
370_517257_519264,34.70,3
376_500056_500058,7.68,2
2141_511298_502301,24.36,3
282_513149_514114,33.43,3165
3173_511160_502309,11.96,4
2521_518110_515116,26.75,1
4272_501855_501701,22.67,106
3372_513098_513037,16.79,9
3372_513098_513038,32.64,5
318_511133_511339,7.05,1
318_511133_511337,57.01,4
318_511133_511338,32.18,2
437_501002_501750,34.37,9
131_500301_500251,35.66,69077
2473_516086_502650,24.74,1
2243_514345_500165,21.20,46
3173_511160_502310,26.68,1
306_519186_519050,30.64,3
2402_513119_513291,18.74,22
271_516233_511421,26.00,1
271_516233_511422,8.83,1
333_513053_513276,5.12,2
283_514155_514417,12.24,1
333_513053_513277,8.69,6
333_513053_513275,26.91,19
271_511422_516184,23.59,9
131_500450_500300,37.68,3
322_512092_512032,17.11,33
333_513053_513278,12.51,7
2243_514345_500103,8.28,5
282_514313_500101,14.62,6
322_512092_512033,24.33,8
2121_514156_500160,14.07,76
251_514415_502600,41.74,5
322_512092_512029,16.61,28483
140_501150_501052,26.74,75
2471_516093_501850,2.75,11
3122_511172_511072,7.64,177
2273_516122_516041,34.59,1
271_511416_511421,18.48,4
333_513053_513283,19.90,6
271_511416_511422,16.04,1
283_514155_514400,39.42,2
1571_502850_502900,8.61,9015
2273_516122_516047,35.92,1
2301_513049_512200,20.15,6
283_513143_513144,34.14,2741
3422_514559_514091,29.58,1
377_516143_517268,2.05,1
2121_514156_500151,20.74,21
283_513143_513142,10.62,1287
2212_501550_500101,0.15,1
283_513143_513141,11.59,4
2472_516132_514137,15.87,1
2471_517006_516137,34.16,16
2472_516132_514138,37.73,2
2273_501101_513251,17.27,1
3172_511085_502304,8.19,5
3422_514559_514090,10.73,6
2274_502551_500601,7.45,2
2402_514013_513215,15.08,18
272_516052_511243,21.62,32
2273_501101_513256,14.84,5
306_519186_519071,29.19,5
3172_502304_511343,83.21,1
306_519186_519072,30.83,1
3172_502304_511344,1.57,1
333_513053_513294,1.37,2
2273_516122_516031,19.79,9791
3422_514559_514088,16.35,11
2473_500154_502100,1.90,3
2273_518077_502303,21.42,1
2273_516122_516033,25.80,33
243_513008_513159,12.26,2
2273_516122_516035,37.23,39
243_513008_513158,27.97,20
2273_516122_516037,26.31,13
271_511416_511419,12.69,7
2212_518030_518061,17.83,2
271_511416_511417,30.35,20863
3422_514559_514086,28.48,741
3422_514559_514087,27.69,12197
3422_514559_514085,28.13,31
352_515072_515249,14.07,1669
2273_513063_513114,24.30,6
375_517017_517176,35.14,15
2273_513063_513112,16.87,11387
2212_518030_518051,31.63,13
375_517017_517177,15.22,28
272_501950_502100,21.68,13
352_515072_515247,7.11,9
352_515072_515248,14.01,5
2273_516122_516027,27.91,46927
2473_516086_502600,45.90,5
2841_502700_502650,19.91,44035
3123_511391_511292,19.89,10768
2273_516122_516025,38.82,534
2471_518006_518004,35.90,39090
271_511416_511408,28.23,75
272_512056_502400,27.58,73
2471_518006_518003,18.69,5762
2471_518006_518009,20.06,32
375_517017_517184,15.87,1
3372_513098_513082,10.16,2
336_513212_513310,19.87,6251
2212_514003_513049,46.66,1
375_517017_517186,42.48,3
336_513212_513311,17.66,22
282_513147_513093,9.40,1979
336_513212_513312,35.49,39
375_517017_517188,33.98,16
375_517017_517189,35.88,7
2273_513063_513104,33.42,3
3123_511391_511288,21.61,231
2273_516122_516017,0.27,1
2273_513014_514408,7.94,1
3372_513098_513088,27.93,4
2242_512133_1046368,98.26,1
3123_511391_511287,11.33,76
272_511235_511243,49.34,30111
2273_513014_514407,29.11,1
2212_518030_518049,30.57,22
3372_513098_513084,37.71,2
251_514271_514190,34.27,1
375_517017_517183,9.64,1
4272_519165_501803,26.54,1
3372_513098_513085,15.39,5
1472_501403_501851,13.05,38
2471_514377_514431,28.46,4
2473_516234_516196,20.34,7331
2841_514415_514047,42.98,1
2521_518110_515061,7.56,8
2141_516234_511281,39.05,1
2274_517106_517007,19.53,18
2274_517106_517008,18.92,26
2473_516234_516194,22.21,465
2274_517106_517009,13.52,7083
1571_502801_501600,27.88,2
3142_511139_511460,13.66,19
437_501002_501700,31.71,59
272_517212_502000,37.82,16
2104_511423_511109,28.11,36954
3372_513098_513099,27.80,28057
3372_513098_513097,13.35,4936
3372_513098_513096,29.59,26
311_511196_511361,25.12,19
3411_500168_514027,10.91,1
2274_512042_512070,7.78,1
2471_514377_514443,31.62,34763
321_503001_500105,0.09,1
2471_518074_517013,30.37,4
2141_516234_511275,30.20,2
2471_518074_517011,15.84,10
2471_518074_517012,18.21,3
375_517143_517229,3.85,2
272_512117_500800,24.99,3
131_500450_500350,24.39,24
2301_513279_513254,26.66,1
2521_513205_513225,17.07,10
2521_513205_513226,13.24,15
2121_515019_513251,30.12,1
2301_513279_513258,41.40,1
2521_515238_503004,33.53,34
2121_515019_513253,18.05,2
323_512185_512014,27.75,9
304_513150_519093,2.84,1
2273_518154_513251,31.93,1
282_518157_500102,8.23,2
347_514024_514028,31.73,1
2141_514369_514076,35.94,2
347_514024_514029,0.73,2
347_514024_514026,20.15,14
347_514024_514027,26.95,4
2243_514154_514053,39.56,1
3122_511172_511171,10.16,12783
2243_514154_514054,46.15,2
2243_514154_514055,6.05,1
311_511196_511347,19.61,4
3122_511172_511173,18.91,45408
2301_513279_513264,39.56,4
347_514024_514021,47.16,3
2472_516242_501802,42.78,3
3131_511478_511100,23.60,19
2301_513279_513262,38.96,2
2301_513279_513260,28.83,1
347_514024_514025,26.33,1546
347_514024_514023,30.31,223
2101_516073_516235,20.65,16
2301_513279_513268,30.88,10
272_512195_516063,22.73,1
2243_514154_514056,34.16,5
3122_511172_511174,10.01,233
3122_511172_511175,13.21,30
3122_511172_511176,19.43,28
3122_511172_511177,11.09,19
2102_516129_502301,3.78,1
3372_513080_513106,19.48,25839
2521_513205_513249,19.65,8292
2121_515142_516195,30.33,11
2121_515142_516193,31.55,32
2141_514370_514541,15.75,4
2301_513279_513270,30.81,68
2274_512042_512043,32.48,32339
2274_512042_512044,21.49,298
2243_514047_514154,50.64,1
2274_512042_512041,26.63,1170
2243_514047_514150,49.23,1
2243_500103_500165,7.11,21
2842_502651_503012,19.12,82
2841_514415_514081,18.26,234
2841_514415_514083,23.53,21
2841_514415_514084,25.54,9
2242_514154_514386,1.67,2
2472_516015_516005,51.77,3
2301_513273_500750,20.65,10
2102_511349_516227,2.21,2
2472_516015_516006,33.75,8
251_518149_503004,26.27,2
283_514155_514370,30.89,2
2102_511349_516225,42.76,2
283_514155_514376,4.39,1
452_512020_512021,28.10,12832
452_512020_512022,11.06,493
283_514155_514374,9.48,1
142_512022_500751,19.80,166
283_514155_514367,31.40,4
2841_514415_514076,40.11,32548
306_519191_519068,0.27,1
2472_516015_516009,45.04,35185
2273_513014_514399,41.64,2
2472_516015_516007,14.51,27
2472_516015_516008,32.37,1502
2402_500160_500751,21.81,8
2102_519059_501400,15.08,74
3011_501001_512001,20.48,62
306_519191_519073,21.98,1
2102_511349_516236,33.00,3
306_519191_519071,35.66,1
2524_518085_516264,12.49,6
283_514155_514365,36.97,7
306_519191_519072,41.88,1
2472_516015_516010,8.71,4
2473_514368_502103,20.56,2
2471_518006_518074,10.89,9
2402_514013_513292,19.97,2
140_501201_501101,26.61,246
3422_500164_514219,23.88,19069
3372_513101_500251,25.72,56
3192_511074_511380,16.90,3
2472_516008_503001,31.27,7
2521_518110_515046,19.04,1
375_517143_517218,5.98,3
3422_500164_514220,14.79,35
375_517143_517219,11.13,15
375_517143_517216,9.75,3
375_517143_517217,11.98,6
2102_511349_516202,6.76,4
375_517143_517214,17.13,10
2102_511349_516206,0.68,1
2472_517007_500153,0.34,1
2243_514154_514013,19.52,8
2242_514154_514388,46.88,1
2471_518012_514384,40.26,1
2242_514154_514396,28.77,24
2471_518012_514379,21.62,7
2102_511349_516212,7.71,2
2212_515148_511275,2.38,2
283_514155_514382,23.27,2
2471_514377_514415,22.63,36
306_519191_519050,22.64,3
3112_511265_511302,18.14,57
2102_511349_516218,27.54,3
304_519130_519293,20.24,6570
2273_513114_501100,49.10,1
2212_513114_513104,23.96,8
3133_511502_511034,28.00,2
2121_515142_516139,20.16,5
305_512103_519165,17.32,37
305_512103_519166,23.47,5
305_512103_519162,21.87,16
305_512103_519163,11.74,2704
2121_511282_515144,34.85,11
651_515139_515028,24.18,246
2212_513114_513112,38.40,45600
324_512176_512170,1.44,1
2401_514396_514257,27.25,257
282_518136_513291,6.32,4
2471_515020_514443,27.68,7
2101_501405_501502,24.87,44797
371_517021_517177,28.07,109
2211_518098_501351,10.79,10
427_502451_502551,29.21,47
272_512054_501452,18.50,2
651_515200_515041,26.62,7022
651_515200_515042,41.64,21
2141_516081_511281,37.52,1
2472_516242_501850,27.17,5
347_514020_514534,2.30,4
2104_511109_500751,33.21,4
324_512176_512175,9.10,3036
2141_514376_515014,22.09,3
2241_513013_504010,31.43,27
2212_515148_511298,0.22,1
2141_514376_515012,26.97,3
324_512176_512172,30.31,5
2141_514376_515010,18.20,3
324_512176_512173,18.37,29
324_512176_512174,13.73,448
2243_500103_500100,19.48,666
2841_514076_514415,14.58,3084
2141_514376_515018,28.24,2
251_514192_514175,31.59,1
3191_511236_511203,14.55,148
2121_511282_515161,15.41,4
142_514208_514535,41.99,38832
3191_511236_511204,15.51,20
376_517259_517172,12.72,12
3191_511236_511202,21.33,3
324_512176_512168,15.65,1
243_513006_500155,5.20,2
324_512176_512165,0.34,5
2211_512112_519013,27.35,168
324_512176_512166,17.55,1
